method,estimator,embedding_net,task,num_simulations,seed,model_id,observation_ids,metric,value,time_train,time_eval,cfg
filtered_tabpfn,none,none,misspecified_prior,100,0,7364b828-98c4-4080-b0d9-6d49b1064345,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8515499999999999, 0.8112999999999999, 0.82725, 0.8523, 0.8162, 0.78215, 0.8386000000000001, 0.8238, 0.8484000000000002, 0.78575]",0.0006680488586425,3.24822165966034,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 3, 'tau_m': 1.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_likelihood,100,0,ee214cf5-d594-4346-9eb5-73d3cb64bbb9,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8555499999999998, 0.8396000000000001, 0.7892499999999999, 0.86005, 0.7763, 0.876, 0.7928499999999999, 0.7732499999999999, 0.90655, 0.8331500000000001]",0.001274824142456,3.1821810245513915,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.05, 'lambda_val': 0.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_prior,100,0,e1cfa365-d1da-4244-9127-35d4b14af1e3,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.9197500000000002, 0.9606999999999999, 0.9358500000000001, 0.9199999999999999, 0.9555, 0.97265, 0.9372499999999999, 0.9431499999999999, 0.9256500000000001, 0.97485]",2.18896746635437,0.0637395858764648,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 4.5, 'tau_m': 1}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_likelihood,100,0,33effdb2-8176-4b06-a6eb-d8eeb53c24b2,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6118, 0.67785, 0.6125, 0.6305, 0.6604500000000001, 0.74845, 0.6141, 0.6285999999999999, 0.7113, 0.77545]",2.4526875019073486,0.0852086067199707,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 5, 'lambda_val': 0.6}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_prior,100,0,3a69a574-e1ae-4bf7-b67c-9e8e227fe080,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.8565999999999999, 0.79655, 0.8382999999999999, 0.84575, 0.78755, 0.72845, 0.83415, 0.81775, 0.8603999999999999, 0.7419]",0.0006403923034667,3.1770941495895384,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 3, 'tau_m': 2}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_prior,100,0,941d28ef-5557-4072-9c96-f88ccf65a84d,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.9093499999999999, 0.9397500000000001, 0.9224499999999999, 0.916, 0.9362999999999999, 0.9573500000000001, 0.9199999999999999, 0.9297000000000001, 0.91615, 0.9591]",2.077840566635132,0.0621181964874267,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 4.5, 'tau_m': 1.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_likelihood,100,0,c3cfb406-a205-4b12-a3cc-e33aae9d52fd,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.77285, 0.7686, 0.71295, 0.7692, 0.7037000000000001, 0.81525, 0.7128500000000001, 0.7095, 0.85, 0.7807999999999999]",0.001293659210205,3.2061192989349365,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.1, 'lambda_val': 0.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_prior,100,0,24e803b7-63ce-4cb4-9ff3-61f5bf31aa0a,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.93035, 0.924, 0.9339999999999999, 0.93155, 0.9052, 0.90815, 0.9268000000000001, 0.92835, 0.9339999999999999, 0.9204000000000001]",2.625166416168213,0.0665323972702026,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 4.5, 'tau_m': 2}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,misspecified_likelihood,100,0,2defe2ed-69d9-47e7-a937-a18c817f04fb,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6921999999999999, 0.6691499999999999, 0.65755, 0.7021, 0.6241, 0.66625, 0.662, 0.6592499999999999, 0.76055, 0.69565]",2.51011610031128,0.0832953214645385,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'misspecified_likelihood', 'num_simulations': 100, 'params': {'dim': 2, 'tau_m': 0.05, 'lambda_val': 0.7}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
filtered_tabpfn,none,none,misspecified_prior,100,0,d680da3b-ce44-483c-a7ce-96df32f6d018,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.86535, 0.7882, 0.8387, 0.8404499999999999, 0.7659999999999999, 0.6707, 0.83525, 0.8022, 0.8798, 0.6956]",0.0006511211395263,3.1885098218917847,"{'name': 'benchmark', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'embedding_net': {'name': 'none', 'params': {}}, 'estimator': {'name': 'none'}, 'name': 'filtered_tabpfn', 'show_progress_bars': False, 'use_flex_attention': False, 'max_sampling_batch_size': 10000, 'filter_type': 'standardized_euclidean_filtering', 'filter_context_size': 10000, 'regressor_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}, 'classifier_init_kwargs': {'ignore_pretraining_limits': False, 'softmax_temperature': 0.9}}, 'task': {'name': 'misspecified_prior', 'num_simulations': 100, 'params': {'dim': 2, 'mu_m': 3, 'tau_m': 2.5}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {}, 'sweeper': {'name': None, 'objective': None}}"
