seed,task_name,task_id,num_simulations,log_probs_ratio_mean,log_probs_auto_mean,log_corr,exp_corr
0,two_moons,3,100,1.6830415725708008,1.6562683582305908,0.9509921475684106,0.925312834442387
0,two_moons,3,300,2.649869203567505,2.4690120220184326,0.9723520507307347,0.9214357052854238
0,two_moons,3,1000,2.712113380432129,2.6945652961730957,0.9037075977391946,0.7776843117263355
0,two_moons,3,3000,3.544271945953369,3.433270215988159,0.9340944668013583,0.8975684620326404
0,two_moons,3,10000,3.837437868118286,3.5670812129974365,0.9349120705172792,0.900858523447594
0,two_moons,4,100,2.4063775539398193,2.728761911392212,0.9399651292811776,0.756004335828272
0,two_moons,4,300,3.0621397495269775,2.6607155799865723,0.9450447655180174,0.7539085511217067
0,two_moons,4,1000,2.9466540813446045,3.1096243858337402,0.9249285270247146,0.8699074532400848
0,two_moons,4,3000,3.264699697494507,3.3801441192626953,0.9385980270069798,0.852085598450349
0,two_moons,4,10000,3.410276174545288,3.404081344604492,0.8894912291685965,0.8649749347779562
0,two_moons,5,100,3.0726137161254883,2.6694061756134033,0.9068929874601344,0.5856662774567427
0,two_moons,5,300,3.3499937057495117,2.9746689796447754,0.9211611554977194,0.8558368932674045
0,two_moons,5,1000,3.9706578254699707,3.566370725631714,0.9334811667028607,0.7879340262803304
0,two_moons,5,3000,3.7704226970672607,3.822622537612915,0.879321803326947,0.8246136785882219
0,two_moons,5,10000,3.744425058364868,4.1134467124938965,0.8882908020641941,0.7534633416091248
1,two_moons,3,100,2.316192150115967,2.17427134513855,0.9835767018573324,0.934401765362032
1,two_moons,3,300,2.7144336700439453,2.6001665592193604,0.9618204224701242,0.8624328047897222
1,two_moons,3,1000,3.026303291320801,2.8681206703186035,0.9382838325152875,0.9116290582254932
1,two_moons,3,3000,3.6408469676971436,3.526805877685547,0.9218376028359543,0.9028063141489568
1,two_moons,3,10000,3.5244457721710205,3.395817995071411,0.8437630521597714,0.8262308416311385
1,two_moons,4,100,2.3237459659576416,2.337226152420044,0.9695898548243831,0.8931257282527629
1,two_moons,4,300,2.7967281341552734,2.8114538192749023,0.9344713007381908,0.8549402168818628
1,two_moons,4,1000,3.1168880462646484,2.988345146179199,0.899666113122283,0.6521381823050459
1,two_moons,4,3000,3.323371171951294,3.4533514976501465,0.9301787416287638,0.8851542666466606
1,two_moons,4,10000,3.1700761318206787,3.4376800060272217,0.9389714152986617,0.8525306531139544
1,two_moons,5,100,2.9837379455566406,2.519948959350586,0.9566565858958939,0.8844548377381136
1,two_moons,5,300,2.6318137645721436,2.9994609355926514,0.8956592187639512,0.8110807209805823
1,two_moons,5,1000,3.155014991760254,3.3314383029937744,0.9079489702291278,0.7757745917379455
1,two_moons,5,3000,3.4020979404449463,3.680298328399658,0.9211199281635181,0.9251693040430576
1,two_moons,5,10000,3.482405424118042,3.9665143489837646,0.8488548726576466,0.8271090442900801
2,two_moons,3,100,2.150200843811035,2.0015387535095215,0.9681393273367017,0.9215499696121424
