method,estimator,embedding_net,task,num_simulations,seed,model_id,observation_ids,metric,value,time_train,time_eval,cfg
nle,maf,none,gaussian_mixture,1000,0,10,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7429500000000001, 0.7307, 0.7025999999999999, 0.71825, 0.70885, 0.725, 0.7202000000000001, 0.71775, 0.70355, 0.73585]",10.869041919708252,24.620349955558776,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'maf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nle', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 1000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
nle,maf,none,two_moons,1000,0,11,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.7041, 0.6915000000000001, 0.6644500000000001, 0.67605, 0.6985499999999998, 0.6648, 0.73475, 0.6952, 0.65405, 0.7392]",17.404900550842285,23.53548104763031,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'maf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nle', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 1000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,gaussian_mixture,10000,0,12,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.56135, 0.54745, 0.52975, 0.56525, 0.5911500000000001, 0.5406, 0.54145, 0.5387500000000001, 0.52115, 0.5497]",277.1482162475586,0.0627094745635986,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
nle,maf,none,gaussian_mixture,10000,0,13,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.61635, 0.56895, 0.5717000000000001, 0.5923999999999999, 0.6019, 0.5719000000000001, 0.56925, 0.56325, 0.5628, 0.64675]",70.55165791511536,24.433928513526915,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'maf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nle', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_mixture', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,gaussian_linear,10000,0,14,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6268, 0.5725, 0.5889, 0.6407999999999999, 0.559, 0.57655, 0.57225, 0.63045, 0.5908, 0.6163]",74.94739484786987,0.1286851406097412,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'gaussian_linear', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
nre,mlp,none,two_moons,100000,0,15,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.72325, 0.7304, 0.7131000000000001, 0.7219000000000001, 0.7558, 0.72035, 0.7454, 0.7404499999999998, 0.73475, 0.6822999999999999]",243.450537443161,11.569348239898682,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'mlp', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nre', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 100000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,two_moons,10000,0,16,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.51895, 0.53215, 0.5298999999999999, 0.5356, 0.5607500000000001, 0.5391, 0.57945, 0.577, 0.5436500000000001, 0.55745]",326.96865582466125,0.0730554103851318,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,bernoulli_glm,10000,0,17,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.6964, 0.68515, 0.71345, 0.6710499999999999, 0.6766, 0.66465, 0.7127000000000001, 0.68655, 0.7152, 0.6832499999999999]",194.92141675949097,0.1137855529785156,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'bernoulli_glm', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
nle,maf,none,two_moons,10000,0,18,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.58065, 0.59635, 0.5556, 0.5575, 0.62565, 0.5459, 0.5646, 0.54765, 0.55455, 0.5689]",134.3840618133545,22.395080780982973,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'maf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'mcmc', 'params': {'sample_with': 'mcmc', 'mcmc_method': 'slice_np_vectorized', 'mcmc_parameters': {'num_chains': 100}}}, 'name': 'nle', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'two_moons', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
npe,nsf,none,slcp,10000,0,19,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",c2st,"[0.9417500000000001, 0.91005, 0.93895, 0.8420500000000001, 0.87335, 0.8384500000000001, 0.9542999999999999, 0.8989999999999998, 0.8837999999999999, 0.8365499999999999]",324.89506697654724,0.0939407348632812,"{'name': 'sbibm', 'seed': 0, 'model_id': None, 'save_model': True, 'save_summary': True, 'method': {'train': {'training_batch_size': 200, 'learning_rate': 0.0005, 'validation_fraction': 0.1, 'max_num_epochs': 2147483647, 'clip_max_norm': 5.0}, 'estimator': {'name': 'nsf', 'params': {'z_score_theta': 'independent', 'z_score_x': 'independent', 'hidden_features': 50, 'num_transforms': 5, 'num_bins': 10}}, 'embedding_net': {'name': 'none', 'params': {}}, 'sampler': {'name': 'direct', 'params': {}}, 'name': 'npe', 'device': 'cpu', 'show_progress_bars': False}, 'task': {'name': 'slcp', 'num_simulations': 10000, 'params': {}}, 'eval': {'name': ['c2st'], 'observation_ids': [1, 2, 3, 4, 5, 6, 7, 8, 9, 10], 'num_eval_samples': 10000}, 'partition': {'hydra': {'mode': 'MULTIRUN', 'launcher': {'partition': '2080-galvani', 'gres': None, 'cpus_per_task': 8, 'mem_gb': 16}}}, 'sweeper': {'name': None, 'objective': None}}"
